,City,Cloudiness,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
45,Port-Gentil,20,1539298800,94,-0.72,8.78,78.8,9.17
46,Cherskiy,68,1539303463,99,68.75,161.3,25.15,1.5
47,Ambilobe,0,1539303465,71,-13.19,49.05,73.3,15.48
48,Matara,88,1539303466,89,-13.74,-72.9,47.56,1.5
49,Bluff,92,1539303468,75,-23.58,149.07,74.74,10.56
50,Bredasdorp,20,1539298800,87,-34.53,20.04,57.2,10.29
51,Lorengau,36,1539303470,95,-2.02,147.27,85.58,10.11
52,Lucapa,32,1539303472,95,-8.42,20.74,67.22,3.18
53,San Quintin,20,1539302400,74,17.54,120.52,82.4,2.24
54,Pochinki,0,1539303474,83,54.7,44.85,35.05,9.66
55,Yellowknife,75,1539302400,92,62.45,-114.38,32.0,5.82
56,Saint-Joseph,90,1539302400,93,43.56,6.97,62.6,1.12
57,Vila Franca do Campo,75,1539302400,88,37.72,-25.43,71.6,24.16
58,Isangel,0,1539303481,98,-19.55,169.27,76.27,8.21
59,Gazli,0,1539303482,76,40.13,63.45,41.48,3.18
60,Ribeira Grande,92,1539303486,94,38.52,-28.7,72.53,37.07
61,Loreto,24,1539303488,97,-23.27,-57.32,74.38,4.74
62,Karibib,92,1539303490,89,-21.94,15.86,64.12,1.16
63,Santa Ines,75,1539298800,58,-0.82,-78.63,59.0,10.29
64,Half Moon Bay,20,1539302160,58,37.46,-122.43,75.92,18.34
65,Storslett,88,1539303493,100,69.77,21.03,34.6,2.62
66,Bambous Virieux,40,1539298800,68,-20.34,57.76,71.6,12.75
67,Kaeo,56,1539303498,74,-35.1,173.78,60.61,24.32
68,Ponta Delgada,75,1539302400,88,37.73,-25.67,71.6,24.16
69,Bathsheba,20,1539298800,78,13.22,-59.52,82.4,4.7
70,Esperance,20,1539298800,78,10.24,-61.45,82.4,5.97
71,Tuktoyaktuk,90,1539302400,92,69.44,-133.03,21.2,10.29
72,Bethel,90,1539301980,70,60.79,-161.76,48.02,14.99
73,Kapaa,75,1539302160,67,22.08,-159.32,82.94,11.41
74,Atuona,24,1539303508,99,-9.8,-139.03,80.68,18.5
75,San Cristobal,75,1539298800,58,-0.39,-78.55,59.0,10.29
76,Saint-Philippe,90,1539302400,100,45.36,-73.48,51.62,8.05
77,Hami,0,1539303512,49,42.84,93.51,37.12,5.64
78,Port Alfred,64,1539303513,94,-33.59,26.89,64.48,16.49
79,Nalut,32,1539303514,54,31.86,10.98,68.3,6.98
80,Comarapa,56,1539303516,96,-17.91,-64.53,55.07,2.06
81,Huaral,32,1539303517,94,-11.5,-77.21,61.37,5.75
82,Puerto Ayora,24,1539303518,100,-0.74,-90.35,72.53,13.02
83,Talnakh,68,1539303272,92,69.49,88.39,29.65,19.28
84,Dikson,76,1539303521,100,73.51,80.55,31.99,19.62
85,Durant,1,1539302100,61,33.99,-96.37,64.4,7.54
86,Casper,90,1539301980,55,42.87,-106.31,46.94,5.75
87,Qaanaaq,76,1539303525,100,77.48,-69.36,22.63,9.78
88,Katsuura,75,1539298800,82,33.93,134.5,55.4,8.05
89,Cairns,0,1539300600,58,-16.92,145.77,82.4,10.29
90,Saldanha,56,1539303520,94,41.42,-6.55,54.13,7.09
91,Timberlake,1,1539302160,71,32.26,-81.31,83.3,9.17
92,Chokurdakh,80,1539303531,86,70.62,147.9,21.91,2.73
93,Fallon,90,1539298560,13,46.84,-105.12,39.92,5.82
94,Berlevag,92,1539303533,100,70.86,29.09,40.13,9.22
95,Port Lincoln,20,1539303535,82,-34.72,135.86,64.21,14.81
96,Dingle,20,1539303536,77,11.0,122.67,82.48,8.43
97,Constitucion,75,1539297960,27,23.99,-104.67,78.8,6.93
98,Hithadhoo,88,1539303538,99,-0.6,73.08,83.83,5.19
99,San Ignacio,40,1539298800,71,-36.8,-72.03,57.2,8.05
100,Port Hueneme,20,1539302220,52,34.15,-119.2,71.96,8.05
101,Carnarvon,88,1539303543,41,-30.97,22.13,57.01,8.99
102,Pisco,90,1539298800,30,-13.71,-76.2,71.6,17.22
103,Ancud,36,1539303545,73,-41.87,-73.83,47.2,6.08
104,Normal,1,1539300900,63,40.51,-88.99,48.02,3.36
105,Umm Lajj,0,1539303548,100,25.02,37.27,72.85,7.99
106,Port Keats,0,1539303549,59,-14.25,129.55,88.69,6.76
107,Luderitz,24,1539298800,42,-26.65,15.16,64.4,24.16
108,Unai,92,1539303551,33,-16.36,-46.91,81.85,6.64
109,Mahon,75,1539302400,100,51.89,-8.4,53.6,39.15
110,Sao Jose da Coroa Grande,92,1539303554,82,-8.9,-35.15,76.18,7.76
111,Bayburt,12,1539303555,85,40.26,40.22,32.17,2.39
112,Sambava,92,1539303556,100,-14.27,50.17,74.02,19.51
113,La Ferte-Bernard,0,1539302400,93,48.19,0.65,59.0,1.12
114,Wajima,75,1539298800,76,37.4,136.9,57.2,3.36
115,Grindavik,75,1539300600,87,63.84,-22.43,48.2,20.8
116,Khatanga,0,1539303561,85,71.98,102.47,20.78,13.13
117,Huarmey,12,1539303562,77,-10.07,-78.15,62.0,3.62
118,Ust-Tsilma,76,1539303563,93,65.44,52.15,35.32,12.24
119,Avera,1,1539302100,59,33.19,-82.53,80.06,9.17
120,Leningradskiy,56,1539303566,97,69.38,178.42,35.77,14.14
121,Sao Filipe,8,1539303567,95,14.9,-24.5,80.23,12.24
122,Victoria,75,1539302400,83,5.28,115.24,84.2,2.24
123,Bellavista,56,1539303571,99,6.57,-76.89,71.18,1.95
124,Sakaiminato,75,1539298800,67,35.55,133.23,59.0,4.7
125,Meulaboh,48,1539303573,100,4.14,96.13,76.13,2.39
126,Hasaki,90,1539300600,93,35.73,140.83,66.2,9.17
127,Omboue,92,1539303576,100,-1.57,9.26,78.02,7.43
128,Jamestown,0,1539303529,57,-33.21,138.6,64.3,10.67
129,Lebu,0,1539303578,72,8.96,38.73,44.18,4.63
130,Alvorada,90,1539298800,72,-30.0,-51.08,64.4,17.22
131,Nanortalik,8,1539303581,93,60.14,-45.24,34.6,25.55
132,Naze,40,1539302400,94,5.43,7.07,75.2,3.62
133,Cooma,92,1539303583,100,-36.24,149.13,47.02,4.41
134,Kahului,40,1539302160,59,20.89,-156.47,87.08,18.34
135,Sukhobuzimskoye,0,1539300600,92,56.5,93.28,21.2,5.53
136,Kruisfontein,100,1539303587,100,-34.0,24.73,61.15,13.8
137,Kouroussa,48,1539303588,96,10.65,-9.88,69.83,7.99
138,Cape Town,20,1539298800,76,-33.93,18.42,57.2,8.05
139,Qena,0,1539298800,46,26.16,32.72,73.4,2.24
140,Lavrentiya,92,1539303592,100,65.58,-170.99,42.7,19.28
141,Noumea,0,1539302400,57,-22.28,166.46,80.6,8.05
142,Torbay,75,1539302400,64,47.66,-52.73,35.6,13.87
143,Iquitos,90,1539298800,88,-3.75,-73.25,75.2,1.12
144,Wanning,36,1539301800,58,48.64,13.53,57.2,10.29
145,Arraial do Cabo,75,1539298800,94,-22.97,-42.02,73.4,3.36
146,Souillac,32,1539302400,93,45.6,-0.6,62.6,4.7
147,Abu Samrah,0,1539303601,86,35.3,37.18,57.95,2.95
148,Kovur,0,1539303602,76,14.5,79.99,73.03,2.73
149,Vanavara,0,1539303530,68,60.35,102.28,29.92,5.08
150,Neuquen,0,1539302400,50,-38.95,-68.06,57.2,5.82
151,Pitimbu,20,1539298800,83,-7.47,-34.81,75.2,9.17
152,Conakry,75,1539298800,94,9.52,-13.7,80.6,9.17
153,Pundaguitan,8,1539303608,98,6.37,126.17,83.87,4.52
154,Bani,0,1539303609,97,15.89,120.27,79.69,3.62
155,Qandala,0,1539303611,85,11.47,49.87,65.29,1.39
156,Sarangarh,80,1539303612,96,21.6,83.08,72.62,9.66
157,San Patricio,88,1539303613,97,-26.98,-56.83,70.73,2.51
158,Mecca,0,1539303614,55,21.43,39.83,67.36,2.95
159,Mar del Plata,0,1539303616,45,-46.43,-67.52,52.55,9.1
160,Sola,0,1539301800,67,58.89,5.65,60.8,14.99
161,Shenjiamen,80,1539303619,89,29.96,122.3,68.93,15.48
162,Cayenne,0,1539300600,94,4.94,-52.33,78.8,8.05
163,Hervey Bay,92,1539303622,100,-25.3,152.85,68.89,10.11
164,Cidreira,80,1539303623,74,-30.17,-50.22,63.67,18.05
165,Baruun-Urt,0,1539303624,50,46.68,113.28,30.77,11.01
166,Porto Novo,75,1539298800,88,-23.68,-45.44,68.0,5.82
167,Zheleznodorozhnyy,0,1539300600,86,55.75,38.0,37.4,2.24
168,Tasiilaq,92,1539301800,100,65.61,-37.64,32.0,11.41
169,Volzhskiy,0,1539300600,80,48.78,44.78,39.2,6.71
170,Dubbo,12,1539302400,45,-32.25,148.6,66.2,20.8
171,Severo-Kurilsk,92,1539303632,97,50.68,156.12,47.92,15.7
172,La Asuncion,92,1539303633,97,-1.64,-78.74,47.56,2.06
173,Dunedin,88,1539303456,80,-45.87,170.5,39.68,17.27
174,Mahebourg,40,1539298800,68,-20.41,57.7,71.6,12.75
175,Kutum,0,1539303637,26,14.2,24.66,67.67,10.0
176,Noshiro,75,1539301380,93,40.21,140.05,55.4,2.24
177,Coari,24,1539303640,90,-4.09,-63.14,80.32,2.06
178,Grand Gaube,40,1539298800,68,-20.01,57.66,71.6,12.75
179,Batemans Bay,92,1539303642,100,-35.71,150.18,54.58,5.08
180,Almaznyy,0,1539303644,75,48.03,40.04,45.22,9.22
181,Rio Gallegos,75,1539298800,73,-51.62,-69.22,48.2,11.41
182,Natal,20,1539298800,78,-5.81,-35.21,78.8,14.99
183,Bilibino,32,1539303647,82,68.06,166.44,18.17,3.18
184,Pottstown,40,1539302100,100,40.25,-75.65,75.02,2.51
185,Nikolskoye,75,1539300600,100,59.7,30.79,39.2,4.47
186,Sydney,75,1539303180,77,-33.85,151.22,59.0,18.34
187,Namatanai,36,1539303652,92,-3.66,152.44,86.12,8.99
188,Bandarbeyla,0,1539303653,92,9.49,50.81,75.91,12.46
189,Alugan,92,1539303655,100,12.22,125.48,78.7,4.07
190,Umaria,12,1539303656,91,23.52,80.84,64.48,4.52
191,Maniitsoq,0,1539303657,100,65.42,-52.9,19.48,5.41
192,Changqing,0,1539298800,66,31.81,117.24,53.6,4.47
193,Hamilton,90,1539302400,66,43.26,-79.87,57.2,11.41
194,Beringovskiy,92,1539303661,100,63.05,179.32,40.99,25.55
195,Xiaoshi,0,1539303662,68,30.59,116.63,54.67,5.97
196,Maceio,0,1539298800,88,-9.67,-35.74,73.4,10.29
197,Rock Sound,88,1539303548,100,24.9,-76.2,83.33,9.1
198,Vestmannaeyjar,80,1539303666,94,63.44,-20.27,46.88,24.76
199,Tuatapere,88,1539303667,100,-46.13,167.69,43.37,21.18
200,Vysokogornyy,20,1539303669,79,50.1,139.13,37.07,2.95
201,Acapulco,75,1539301560,78,16.86,-99.88,82.4,6.93
202,Cururupu,68,1539303671,79,-1.82,-44.87,80.23,9.55
203,Ostrovnoy,8,1539303673,91,68.05,39.51,28.52,11.79
204,Sochi,0,1539300600,88,43.6,39.73,62.6,11.18
205,Provideniya,75,1539300600,80,64.42,-173.23,41.0,15.66
206,Kalmunai,68,1539303676,100,7.42,81.82,73.39,5.19
207,Kodiak,1,1539301980,68,39.95,-94.76,46.94,5.82
208,Nome,1,1539302100,57,30.04,-94.42,73.94,3.36
209,Carutapera,76,1539303680,82,-1.2,-46.02,80.77,11.23
210,Sarahan,0,1539303681,81,31.51,77.79,7.6,1.95
211,Prabumulih,32,1539303683,98,-3.5,104.19,73.93,4.41
212,Vaini,0,1539303684,84,15.34,74.49,67.58,3.62
213,Sale,40,1539301800,100,53.42,-2.32,50.0,2.24
214,Coquimbo,0,1539298800,71,-29.95,-71.34,55.4,9.17
215,Awjilah,0,1539303687,64,29.14,21.3,64.43,8.1
216,Vestmanna,92,1539301800,93,62.16,-7.17,50.0,4.7
217,Hilo,90,1539301980,60,19.71,-155.08,82.04,6.93
218,Carlos Chagas,20,1539303691,59,-17.7,-40.76,78.34,14.03
219,Xiongzhou,0,1539298800,93,32.34,118.83,50.0,3.06
220,Keti Bandar,20,1539303693,100,24.14,67.45,80.86,5.53
221,Mujiayingzi,0,1539303695,56,42.12,118.78,36.4,2.62
222,Qorveh,8,1539303696,66,35.17,47.8,42.79,2.73
223,Shimoda,75,1539301320,88,34.7,138.93,71.6,5.82
224,Vila,90,1539302100,100,45.18,8.4,59.0,4.7
225,Buraydah,0,1539298800,31,26.33,43.97,77.0,2.24
226,Sarangani,0,1539303701,96,5.4,125.46,84.5,10.45
227,Mishkino,20,1539300600,80,56.22,46.62,35.6,11.18
228,Sovetskiy,44,1539303704,69,56.76,48.47,34.87,12.01
229,Lagoa,75,1539302400,88,37.14,-8.45,69.8,4.7
230,Kaitangata,92,1539303539,66,-46.28,169.85,44.14,22.19
231,Tromso,75,1539301800,93,69.65,18.96,44.6,11.41
232,Saposoa,40,1539298800,290,-6.93,-76.77,62.6,5.82
233,Beeville,1,1539302100,70,28.4,-97.75,78.08,8.05
234,Saint-Augustin,0,1539302400,100,44.83,-0.61,59.0,4.7
235,Upernavik,0,1539303713,100,72.79,-56.15,25.78,13.58
236,Manta,20,1539303715,84,45.1,24.1,43.51,2.51
237,Kajaani,90,1539301800,93,64.22,27.73,48.2,2.24
238,Le Vauclin,0,1539300600,78,14.55,-60.84,78.8,6.93
239,Warangal,0,1539303719,86,17.99,79.6,73.48,9.55
240,Pearl Lagoon,40,1539298800,79,12.34,-83.67,84.2,4.7
241,San Luis,92,1539303723,48,-33.3,-66.34,64.21,6.08
242,Fortuna,0,1539302400,82,38.18,-1.13,68.0,3.36
243,Hebi,0,1539303726,72,35.75,114.29,43.69,2.39
244,Sept-Iles,90,1539298800,79,50.2,-66.38,32.0,8.05
245,Baykit,32,1539303728,80,61.68,96.39,22.13,3.62
246,Northam,20,1539301800,87,51.04,-4.21,57.2,17.22
247,Poum,0,1539303731,84,41.28,20.71,36.49,1.61
248,Inta,80,1539303734,80,66.04,60.13,32.3,10.22
249,Mao,40,1539298800,74,19.55,-71.08,82.4,8.05
250,Mezen,92,1539303737,92,65.85,44.24,39.32,10.22
251,Iqaluit,20,1539302400,85,63.75,-68.52,17.6,6.93
252,Ati,20,1539303739,59,13.21,18.34,71.0,2.73
253,Pingdu,0,1539298800,70,36.79,119.95,48.2,2.24
254,Sitka,76,1539303742,81,37.17,-99.65,48.73,9.55
255,Kilrush,75,1539302400,100,51.96,-8.06,53.6,39.15
256,Antipino,90,1539300600,99,57.11,65.76,33.8,11.18
257,Ponta do Sol,24,1539303745,59,-20.63,-46.0,76.18,8.55
258,Chimore,100,1539303746,96,-16.98,-65.13,70.06,2.95
259,Kalabo,0,1539303748,44,-15.0,22.67,59.98,4.07
260,Mbekenyera,44,1539303749,95,-10.0,38.98,67.72,2.51
261,Akureyri,90,1539298800,76,65.68,-18.09,51.8,16.11
262,Utinga,20,1539298800,78,-5.82,-35.4,78.8,14.99
263,Todos Santos,75,1539301680,37,23.45,-110.23,86.0,13.87
264,Airai,0,1539303754,43,-8.93,125.41,78.02,2.17
265,Maraba,0,1539298800,74,-5.35,-49.1,82.4,3.36
266,Trairi,0,1539303756,99,-3.28,-39.27,80.14,20.62
267,Rawson,88,1539303464,26,-43.3,-65.11,63.53,18.5
268,La Romana,40,1539302400,94,18.43,-68.97,78.8,4.52
269,Kieta,20,1539303760,100,-6.22,155.63,79.28,4.63
270,Westerland,90,1539302100,77,52.89,4.93,64.4,14.99
271,Pangnirtung,20,1539303763,100,66.15,-65.72,16.15,12.01
272,Vila Velha,0,1539298800,74,-3.71,-38.6,80.6,10.29
273,Camopi,20,1539303765,56,3.17,-52.33,82.48,4.52
274,Biri,92,1539303766,99,60.95,10.61,44.18,2.17
275,Zdzieszowice,0,1539302400,93,50.42,18.12,46.4,1.12
276,Rovaniemi,90,1539301800,100,66.5,25.72,42.8,1.12
277,Ukiah,1,1539302160,36,39.15,-123.21,75.02,6.93
278,Kavaratti,56,1539303771,100,10.57,72.64,82.57,11.45
279,Inverness,0,1539301800,93,57.48,-4.23,51.8,2.24
280,Uruzgan,0,1539303775,65,32.93,66.63,16.37,1.5
281,Shieli,48,1539303777,70,44.18,66.74,46.25,7.2
282,Arlit,92,1539303778,18,18.74,7.39,84.01,2.17
283,Los Llanos de Aridane,0,1539302400,64,28.66,-17.92,71.6,5.82
284,Thunder Bay,75,1539302400,77,48.41,-89.26,32.0,9.17
285,Lekoni,68,1539303782,94,-1.58,14.26,70.55,9.44
286,Jiuquan,0,1539303699,45,39.73,98.49,27.4,1.5
287,Sironj,0,1539303784,72,24.1,77.69,71.18,6.98
288,Deputatskiy,56,1539303785,79,69.3,139.9,7.55,2.73
289,Barabai,44,1539303787,94,-2.59,115.38,76.45,2.62
290,Piranshahr,80,1539303788,70,36.7,45.14,50.57,1.05
291,Yumen,0,1539303789,71,40.29,97.04,28.93,4.97
292,Srednekolymsk,88,1539303790,89,67.46,153.71,26.86,3.18
293,Marsh Harbour,36,1539303792,100,26.54,-77.06,82.3,10.11
294,Santa Cruz,1,1539302160,54,36.97,-122.03,71.6,13.87
295,Artvin,75,1539300600,100,41.18,41.83,64.4,5.82
296,Witney,90,1539302160,87,51.78,-1.49,55.4,9.17
297,Saint-Pierre,0,1539302400,87,48.95,4.24,62.6,6.93
298,Kapuskasing,90,1539302400,100,49.42,-82.43,33.8,11.41
299,Aklavik,90,1539302400,92,68.22,-135.01,26.6,5.82
300,Comodoro Rivadavia,0,1539298800,66,-45.87,-67.48,55.4,11.23
301,Puerto Rondon,80,1539303805,96,6.28,-71.1,75.77,4.52
302,Sioux Lookout,90,1539303300,92,50.1,-91.92,28.4,11.41
303,Ordzhonikidze,0,1539303807,100,44.96,35.36,59.35,13.58
304,Ahipara,92,1539303809,86,-35.17,173.16,59.12,25.66
305,Oxilithos,20,1539301800,88,38.58,24.12,64.4,24.16
306,Salta,90,1539302400,82,-24.79,-65.41,59.0,5.82
307,Svay Rieng,68,1539303812,100,11.08,105.8,74.33,5.75
308,Vao,68,1539303813,97,59.1,26.19,48.5,5.97
309,Muros,20,1539300600,77,42.77,-9.06,59.0,20.8
310,Filomeno Mata,75,1539301560,74,20.2,-97.7,84.2,6.93
311,Lompoc,40,1539302160,67,34.64,-120.46,69.8,8.05
312,Santo Domingo,75,1539302400,83,18.48,-69.94,78.8,5.82
313,Atar,68,1539303820,36,20.52,-13.05,80.23,3.62
314,Loding,75,1539301800,55,48.05,12.68,60.8,10.29
315,Colac,0,1539303823,68,-38.34,143.59,61.69,3.62
316,Buenos Aires,0,1539298800,58,-34.61,-58.44,57.2,16.11
317,Farafangana,80,1539303826,97,-22.82,47.83,73.25,13.47
318,Oum Hadjer,0,1539303827,56,13.3,19.7,67.0,2.95
319,Hendersonville,1,1539302160,53,36.3,-86.62,60.98,8.05
320,Nazira,90,1539302400,94,26.91,94.73,71.6,2.95
321,Menzelinsk,20,1539300600,69,55.73,53.11,37.4,20.13
322,Sedalia,1,1539302100,70,38.7,-93.23,52.52,4.7
323,Homer,75,1539301980,58,59.64,-151.54,55.04,4.7
324,Makubetsu,75,1539298800,93,42.84,143.34,55.4,1.12
325,Takoradi,32,1539303837,99,4.89,-1.75,77.3,6.53
326,Bhawanipatna,80,1539303838,99,19.91,83.17,70.06,1.95
327,Pindwara,8,1539303839,76,24.79,73.05,66.28,2.51
328,Alpharetta,1,1539302160,52,34.07,-84.27,69.8,13.87
329,Sorland,0,1539303842,94,67.67,12.69,52.6,14.47
330,Anadyr,0,1539300600,95,64.73,177.51,35.6,4.47
331,Inhambane,0,1539303844,99,-23.87,35.38,72.4,8.99
332,Martapura,20,1539303846,91,-3.41,114.85,80.9,3.96
333,Malanje,0,1539303847,94,-9.54,16.35,67.18,6.53
334,La Paz,75,1539301680,37,24.15,-110.32,86.0,13.87
335,Lazaro Cardenas,40,1539301200,24,28.39,-105.62,82.4,11.41
336,Mackenzie,90,1539302400,71,55.34,-123.09,35.6,9.17
337,Calabozo,80,1539303852,97,8.92,-67.43,75.05,4.63
338,Denpasar,20,1539302400,88,-8.65,115.22,80.6,3.36
339,Gat,0,1539303855,68,14.69,-16.54,80.41,6.64
340,Flinders,40,1539298800,48,-34.58,150.85,62.6,13.87
341,Hailin,0,1539303857,87,44.57,129.38,40.85,4.63
342,Padang,64,1539303858,100,-0.92,100.36,78.25,11.68
343,Christchurch,92,1539302400,87,-43.53,172.64,44.6,18.34
344,Totskoye,48,1539303861,64,52.53,52.75,38.15,11.79
345,Biak,92,1539303862,100,-0.91,122.88,77.48,3.51
346,Nioro,0,1539303863,81,13.79,-15.05,79.51,1.95
347,Kremenchuk,0,1539303864,90,49.08,33.43,47.78,9.66
348,Nastola,90,1539301800,93,60.95,25.93,50.0,11.41
349,Damaturu,24,1539303867,44,11.75,11.96,75.23,6.42
350,Baft,0,1539303868,71,29.23,56.61,34.42,2.95
351,Trinidad,90,1539298800,87,-33.52,-56.9,48.2,16.11
352,Guerrero Negro,92,1539303871,82,27.97,-114.04,69.97,6.76
353,Necochea,44,1539303851,64,-38.55,-58.74,50.62,10.56
354,Anito,48,1539303875,100,12.45,125.29,82.88,10.11
355,Rocha,88,1539303877,95,-34.48,-54.34,46.43,8.21
356,Hangu,68,1539303878,84,33.53,71.06,50.53,2.62
357,Viedma,92,1539303756,29,-40.81,-62.99,57.82,13.8
358,Campo Largo,90,1539298800,100,-25.46,-49.53,55.4,11.41
359,Pacifica,20,1539302160,58,37.61,-122.49,73.04,18.34
360,Oussouye,20,1539298800,88,12.49,-16.54,82.4,4.7
361,Bedele,0,1539303884,89,8.46,36.35,51.83,2.39
362,Powell River,75,1539302400,87,49.84,-124.52,50.0,3.36
363,Hun,0,1539302100,93,50.34,4.87,60.8,10.29
364,Saravan,40,1539300600,77,39.72,45.65,59.0,6.93
365,Kambove,0,1539303889,77,-10.88,26.6,63.35,2.73
366,Hambantota,92,1539303890,100,6.12,81.12,76.27,7.43
367,Zonguldak,88,1539303892,97,41.25,31.83,58.85,2.06
368,Mantua,75,1539302100,87,45.16,10.79,62.6,1.12
369,Shakiso,88,1539303894,97,5.77,38.9,57.46,2.51
370,Vagur,12,1539303895,92,61.47,-6.81,50.44,21.18
371,Ahmadpur,0,1539303896,78,18.7,76.94,65.29,2.73
372,Peremyshlyany,0,1539300600,81,49.67,24.56,53.6,8.95
373,Soyo,56,1539303899,94,-6.13,12.37,73.57,3.51
374,Clyde River,90,1539302400,85,70.47,-68.59,15.8,2.24
375,Karpogory,0,1539303901,82,64.0,44.44,33.16,8.21
376,Ndioum,0,1539303902,37,16.51,-14.65,78.61,2.73
377,Chupaca,92,1539303904,91,-12.06,-75.29,43.06,1.95
378,Piacabucu,80,1539303905,74,-10.41,-36.43,75.95,9.1
379,Havoysund,20,1539301800,93,71.0,24.66,35.6,5.82
380,Sorong,76,1539303907,100,-0.86,131.25,79.69,6.64
381,Port Macquarie,90,1539302400,63,-31.43,152.91,62.6,6.93
382,Tarakan,76,1539303910,100,3.3,117.63,81.4,2.73
383,Ugoofaaru,92,1539303911,99,5.67,73.0,82.93,11.56
384,Xuddur,0,1539303912,68,4.12,43.89,73.12,8.77
385,Kandrian,36,1539303914,85,-6.21,149.55,82.88,3.18
386,Rio Grande,75,1539298800,67,-32.03,-52.1,60.8,11.41
387,Pombas,48,1539303916,98,-15.9,-54.74,71.9,2.73
388,Sidi Ali,0,1539303917,87,36.1,0.42,58.45,2.51
389,Alipur Chatha,0,1539298800,82,32.27,73.82,66.2,3.96
390,Komsomolskiy,80,1539303920,90,67.55,63.78,29.74,17.16
391,Udomlya,0,1539303921,78,57.88,35.0,34.37,4.07
392,Poya,76,1539303922,100,-21.35,165.16,71.27,3.18
393,Alofi,75,1539302400,66,-19.06,-169.92,84.2,11.41
394,Port Augusta,0,1539302400,46,-32.49,137.76,71.6,6.93
395,Ucluelet,75,1539302400,71,48.94,-125.55,57.2,6.93
396,Eureka,90,1539303000,100,40.8,-124.16,55.4,3.62
397,Baracoa,76,1539303928,100,20.35,-74.5,80.05,7.43
398,Claresholm,90,1539302400,52,50.02,-113.58,42.8,16.11
399,Liverpool,20,1539301800,93,53.41,-2.98,50.0,6.93
400,Biloela,92,1539303932,82,-24.4,150.51,69.83,9.66
401,Tougan,48,1539303933,72,13.07,-3.07,79.06,2.73
402,Ballina,92,1539303935,98,54.11,-9.15,50.89,28.34
403,Lasa,40,1539302400,73,34.92,32.53,69.8,6.93
404,Paamiut,0,1539303937,100,61.99,-49.67,35.14,27.56
405,Longyearbyen,75,1539301800,68,78.22,15.63,30.2,11.41
406,Vardo,90,1539302820,90,39.62,-77.74,71.6,8.05
